Lake,Full PIT,PIT,Length,Sex,Section,
,,,,,,
Parley,9.00E+14,497897,560,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497857,720,F,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497819,585,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497887,690,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497803,640,U,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497862,740,U,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497883,745,F,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497838,700,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497888,540,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497861,350,U,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497877,704,U,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497831,705,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497880,546,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497871,763,F,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497855,615,F,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497858,540,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497827,710,M,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497875,745,F,1,no clipped fin????
,,,,,,
Parley,9.00E+14,497840,364,M,2,
,,,,,,
Parley,9.00E+14,497896,691,M,2,
,,,,,,
Parley,9.00E+14,497870,695,M,2,
,,,,,,
Parley,9.00E+14,497836,720,M,2,
,,,,,,
Parley,9.00E+14,497885,695,M,2,
,,,,,,
Parley,9.00E+14,497890,740,M,2,
,,,,,,
Parley,9.00E+14,497830,680,M,DC,
,,,,,,
Parley,9.00E+14,497807,567,M,DC,
,,,,,,
Parley,9.00E+14,497822,753,F,DC,No clipped fin
,,,,,,
Parley,9.00E+14,497872,602,F,DC,
,,,,,,
Parley,9.00E+14,497865,682,F,DC,"missing left pelvic fin, so clipped right"
,,,,,,
Parley,9.00E+14,497813,701,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497867,580,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497848,561,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497884,540,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497835,697,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497818,722,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497874,578,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497860,720,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497853,805,F,"CM,DC",
,,,,,,
Parley,9.00E+14,497816,565,M,"CM,DC",
,,,,,,
Parley,9.00E+14,497814,605,F,"CM,DC",
,,,,,,
Parley,9.00E+14,497833,663,F,"CM,DC",
,,,,,,
Parley,9.00E+14,497841,560,M,ROD,43654
,,,,,,
Parley,9.00E+14,497802,379,M,ROD,
,,,,,,
Parley,9.00E+14,497892,702,F,ROD,
,,,,,,
Parley,9.00E+14,497817,590,M,DC,
,,,,,,
Parley,9.00E+14,497811,620,M,DC,
,,,,,,
Parley,9.00E+14,497894,575,M,DC,
,,,,,,
Parley,9.00E+14,497849,785,F,DC,
,,,,,,
Parley,9.00E+14,497898,620,M,DC,
,,,,,,
Parley,9.00E+14,497828,408,M,DC,
,,,,,,
Parley,9.00E+14,497810,741,F,DC,
,,,,,,
Parley,9.00E+14,497843,730,M,"N,NE",
,,,,,,
Parley,9.00E+14,497809,518,F,"N,NE",
,,,,,,
Parley,9.00E+14,497869,730,M,"N,NE",
,,,,,,
Parley,9.00E+14,497800,726,F,"N,NE",
,,,,,,
Parley,9.00E+14,497826,728,M,"N,NE",
,,,,,,
Parley,9.00E+14,497824,383,M,"N,NE",
,,,,,,
Parley,9.00E+14,497825,557,M,"N,NE",
,,,,,,
Parley,9.00E+14,497851,670,M,"N,NE",
,,,,,,
Parley,9.00E+14,497891,650,F,"N,NE",
,,,,,,
Parley,9.00E+14,497847,691,M,"N,NE",
,,,,,,
Parley,9.00E+14,497808,675,M,"N,NE",
,,,,,,
Parley,9.00E+14,497876,656,M,"N,NE",
,,,,,,
Parley,9.00E+14,497806,608,U,"N,NE",
,,,,,,
Parley,9.00E+14,497804,690,M,"N,NE",
,,,,,,
Parley,9.00E+14,497815,725,M,"N,NE",
