First,PIT,Total length,Gender,Date,Lake
226001,567704,665,,7/27/20,Parely
226001,567672,690,m,7/27/20,Parely
226001,567728,570,f,7/27/20,Parely
226001,567591,620,m,7/27/20,Parely
226001,567616,690,m,7/27/20,Parely
226001,567646,680,f,7/27/20,Parely
226001,567690,780,f,7/27/20,Parely
226001,567608,500,,7/27/20,Parely
226001,567570,620,m,7/27/20,Parely
226001,567732,540,m,7/27/20,Parely
226001,567655,530,m,7/27/20,Parely
226001,567518,560,f,7/27/20,Parely
226001,567716,520,f,7/27/20,Parely
226001,567563,550,f,7/27/20,Parely
226001,567709,535,m,7/27/20,Parely
226001,567657,670,m,7/27/20,Parely
226001,567702,630,,7/27/20,Parely
226001,567621,550,f,7/27/20,Parely
226001,567614,510,f,7/27/20,Parely
226001,567583,590,f,7/27/20,Parely
226001,567617,530,f,7/27/20,Parely
226001,567697,520,m,7/27/20,Parely
226001,567725,560,f,7/27/20,Parely
226001,567596,600,f,7/27/20,Parely
226001,567622,780,,7/30/20,Mud
226001,567590,730,,7/30/20,Mud
226001,567626,670,,7/30/20,Mud
226001,567676,515,,7/30/20,Mud
226001,567710,720,,7/30/20,Mud
226001,567694,695,,7/30/20,Mud
226001,567519,507,,7/30/20,Parley
226001,567734,582,,7/30/20,Parley
226001,567600,562,,7/30/20,Parley
226001,567501,625,,7/30/20,Parley
226001,567620,553,,7/30/20,Parley
226001,567655,530,,7/30/20,Parley
226001,567689,677,,7/30/20,Parley
226001,567535,525,,7/30/20,Parley
226001,567575,528,,7/30/20,Parley
226001,567627,535,,7/30/20,Parley
226001,567695,525,,7/30/20,Parley
226001,567567,732,,7/30/20,Parley
226001,567525,711,,7/30/20,Parley
226001,567727,690,,7/30/20,Parley
226001,567576,610,,7/30/20,Parley
226001,567741,725,,7/30/20,Parley
226001,567748,650,,7/30/20,Parley
226001,567597,627,,7/30/20,Parley
226001,567607,662,,7/30/20,Parley
226001,567747,503,,7/30/20,Parley
226001,567688,708,,7/30/20,Parley
226001,567557,582,,7/30/20,Parley
226001,567634,691,,7/30/20,Parley
226001,567593,545,,7/30/20,Parley
226001,567611,715,,7/30/20,Parley
226001,567724,700,,7/30/20,Parley
226001,567565,820,,7/30/20,Parley
226001,567607,725,,7/30/20,Parley
226001,567700,535,,7/30/20,Parley
226001,567665,728,,7/30/20,Parley
226001,567714,685,,7/30/20,Parley
,,,,,
