Date,Net Number,LONGPIT,PIT,Status,Previously Captured
9/4/20,3,2.36E+11,38341,RELEASED,
7/23/20,7,2.36E+11,38351,RELEASED,
7/23/20,7,2.36E+11,38355,RELEASED,
7/23/20,3,2.36E+11,38365,RELEASED,
7/23/20,8,2.36E+11,38369,RELEASED,
8/14/20,7,2.36E+11,38386,RELEASED,
9/4/20,3,2.36E+11,38397,RELEASED,
9/4/20,8,2.26E+11,497624,RELEASED,
7/23/20,8,2.26E+11,497633,RELEASED,
8/14/20,7,2.26E+11,497645,DEAD,Captured on 7/23/20 in Net 2
7/23/20,2,2.26E+11,497645,RELEASED,
8/14/20,1,2.26E+11,497649,RELEASED,
8/14/20,7,2.26E+11,497658,RELEASED,
8/14/20,5,2.26E+11,497672,RELEASED,
7/23/20,5,2.26E+11,497686,RELEASED,
7/23/20,5,2.26E+11,497692,RELEASED,
7/23/20,1,2.26E+11,497697,RELEASED,
8/14/20,5,2.26E+11,497771,RELEASED,
8/14/20,1,2.26E+11,497804,RELEASED,
7/23/20,8,2.26E+11,497805,RELEASED,
9/4/20,3,2.26E+11,497822,RELEASED,
7/23/20,7,2.26E+11,497827,RELEASED,
8/14/20,8,2.26E+11,497828,RELEASED,
9/4/20,3,2.26E+11,497885,RELEASED,
7/23/20,8,2.26E+11,497892,RELEASED,
7/23/20,1,2.26E+11,497894,RELEASED,
7/23/20,7,2.26E+11,567009,RELEASED,
8/14/20,5,2.26E+11,567565,RELEASED,
8/14/20,4,2.26E+11,567690,RELEASED,
7/23/20,8,1.26E+11,775182,RELEASED,
9/4/20,5,1.26E+11,775188,RELEASED,
9/4/20,8,1.26E+11,775202,RELEASED,
7/23/20,7,1.26E+11,775203,RELEASED,
7/23/20,8,1.26E+11,775215,RELEASED,
9/4/20,4,1.26E+11,775238,RELEASED,Captured on 9/4/20 in Net 8
8/14/20,8,1.26E+11,775238,RELEASED,
