D 2019-08-15 14:51:06.85 00:00:00.00 HA      900_226001567003 A1    1   281
D 2019-08-15 14:51:07.45 00:00:00.00 HA      900_226001567003 A1    1     1
D 2019-08-15 14:51:08.96 00:00:00.00 HA      900_226001567003 A1    1     4
D 2019-08-15 14:51:09.87 00:00:00.00 HA      900_226001567003 A1    1     2
D 2019-08-15 14:51:13.20 00:00:00.00 HA      900_226001567003 A1    1    10
D 2019-08-15 14:51:14.70 00:00:00.31 HA      900_226001567003 A1    2     4
D 2019-08-15 14:51:16.83 00:00:00.00 HA      900_226001567003 A1    1     5
D 2019-08-15 14:51:20.75 00:00:00.61 HA      900_226001567003 A1    3    12
D 2019-08-15 14:51:23.78 00:00:00.61 HA      900_226001567003 A1    3     7
D 2019-08-15 14:51:27.11 00:00:00.00 HA      900_226001567003 A1    1     8
D 2019-08-15 14:51:46.13 00:00:00.60 HA      900_226001567003 A1    3    62
D 2019-08-15 14:51:47.64 00:00:00.00 HA      900_226001567003 A1    1     2
D 2019-08-15 14:51:50.06 00:00:00.00 HA      900_226001567003 A1    1     7
D 2019-08-15 14:51:50.96 00:00:00.31 HA      900_226001567003 A1    2     2
D 2019-08-15 14:51:53.69 00:00:00.30 HA      900_226001567003 A1    2     7
D 2019-08-15 14:51:56.41 00:00:00.00 HA      900_226001567003 A1    1     7
D 2019-08-15 14:51:57.61 00:00:00.91 HA      900_226001567003 A1    4     3
D 2019-08-15 14:52:00.74 00:00:00.00 HA      900_226001567003 A1    1     3
D 2019-08-15 14:52:00.34 00:00:00.00 HA      900_226001567003 A1    1     1
D 2019-08-15 14:52:00.94 00:00:00.31 HA      900_226001567003 A1    2     1
D 2019-08-15 14:52:01.85 00:00:00.61 HA      900_226001567003 A1    3     1
D 2019-08-15 14:52:04.27 00:00:00.91 HA      900_226001567003 A1    4     5
D 2019-08-15 14:52:05.79 00:00:00.00 HA      900_226001567003 A1    1     1
D 2019-08-15 14:52:06.40 00:00:00.00 HA      900_226001567003 A1    1     1
D 2019-08-15 14:52:14.25 00:00:00.00 HA      900_226001567003 A1    1    25
D 2019-08-15 14:52:18.78 00:00:00.00 HA      900_226001567003 A1    1    14
D 2019-08-15 14:52:20.29 00:00:00.00 HA      900_226001567003 A1    1     4
D 2019-08-15 14:52:41.52 00:00:00.00 HA      900_226001567003 A2    1   595
